standard: Use JavaScript Standard Style (https://standardjs.com)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:76:3: 'user' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:77:3: 'user' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:88:3: 'users' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:89:3: 'users' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:106:26: Expected '!==' and instead saw '!='. (eqeqeq)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:117:3: 'updatedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:130:3: 'updatedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:142:3: 'deletedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:144:3: 'deletedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:188:7: 'mockUserId' is assigned a value but never used. (no-unused-vars)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:189:7: 'mockCarId' is assigned a value but never used. (no-unused-vars) 
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:236:3: 'reservations' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:237:3: 'reservations' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\main.js:249:3: 'reservation' is not defined. (no-undef)
